id,publisher,name,Identity,align,eye,hair,sex,alive,appearances,first_appearance,month,year,date
1,Marvel,Spider-Man (Peter Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,4043,"1962, August",August,1962,8/1/1962
2,Marvel,Captain America (Steven Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,3360,"1941, March",March,1941,3/1/1941
3,Marvel,"Wolverine (James \""Logan\"" Howlett)",Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,3061,"1974, October",October,1974,10/1/1974
4,Marvel,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,2961,"1963, March",March,1963,3/1/1963
5,Marvel,Thor (Thor Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,2258,"1950, November",November,1950,11/1/1950
6,Marvel,Benjamin Grimm (Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Living Characters,2255,"1961, November",November,1961,11/1/1961
7,Marvel,Reed Richards (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2072,"1961, November",November,1961,11/1/1961
8,Marvel,Hulk (Robert Bruce Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2017,"1962, May",May,1962,5/1/1962
9,Marvel,Scott Summers (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1955,"1963, September",September,1963,9/1/1963
10,Marvel,Jonathan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1934,"1961, November",November,1961,11/1/1961
11,Marvel,Henry McCoy (Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,1825,"1963, September",September,1963,9/1/1963
12,Marvel,Susan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,1713,"1961, November",November,1961,11/1/1961
13,Marvel,Namor McKenzie (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,Living Characters,1528,"NA, NA",NA,NA,NA
14,Marvel,Ororo Munroe (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,1512,"1975, May",May,1975,5/1/1975
15,Marvel,Clinton Barton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1394,"1964, September",September,1964,9/1/1964
16,Marvel,Matthew Murdock (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,1338,"1964, April",April,1964,4/1/1964
17,Marvel,Stephen Strange (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,1307,"1963, July",July,1963,7/1/1963
18,Marvel,Mary Jane Watson (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,1304,"1965, June",June,1965,6/1/1965
19,Marvel,John Jonah Jameson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,1266,"1963, March",March,1963,3/1/1963
20,Marvel,Robert Drake (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1265,"1963, September",September,1963,9/1/1963
21,Marvel,Henry Pym (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1237,"1962, January",January,1962,1/1/1962
22,Marvel,Charles Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,1233,"1963, September",September,1963,9/1/1963
23,Marvel,Warren Worthington III (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1230,"1963, September",September,1963,9/1/1963
24,Marvel,Piotr Rasputin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,1162,"1975, May",May,1975,5/1/1975
25,Marvel,Wanda Maximoff (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,1161,"1964, March",March,1964,3/1/1964
26,Marvel,Nicholas Fury (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1137,"1963, May",May,1963,5/1/1963
27,Marvel,Janet van Dyne (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,1120,"1963, June",June,1963,6/1/1963
28,Marvel,Jean Grey (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,1107,"1963, September",September,1963,9/1/1963
29,Marvel,Natalia Romanova (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,1050,"1964, April",April,1964,4/1/1964
30,Marvel,Kurt Wagner (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,Living Characters,1047,"1975, May",May,1975,5/1/1975
31,Marvel,Vision (Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,Living Characters,1007,"1968, October",October,1968,10/1/1968
32,Marvel,May Reilly (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,Living Characters,1000,"1962, August",August,1962,8/1/1962
33,Marvel,Katherine Pryde (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Living Characters,886,"1980, January",January,1980,1/1/1980
34,Marvel,Carol Danvers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,881,"1968, March",March,1968,3/1/1968
35,Marvel,Jennifer Walters (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,881,"1980, February",February,1980,2/1/1980
36,Marvel,Emma Frost (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,880,"1980, January",January,1980,1/1/1980
37,Marvel,Frank Castle (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,878,"1974, February",February,1974,2/1/1974
38,Marvel,Luke Cage (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,856,"1972, June",June,1972,6/1/1972
39,Marvel,Rogue (Anna Marie) (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,850,"NA, NA",NA,NA,NA
40,Marvel,Conan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,787,"1970, October",October,1970,10/1/1970
41,Marvel,Joseph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,752,"1967, August",August,1967,8/1/1967
42,Marvel,Pietro Maximoff (Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,740,"1964, March",March,1964,3/1/1964
43,Marvel,Hercules (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,725,"1965, October",October,1965,10/1/1965
44,Marvel,Victor von Doom (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,721,"1962, July",July,1962,7/1/1962
45,Marvel,Max Eisenhardt (Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,Living Characters,709,"1963, September",September,1963,9/1/1963
46,Marvel,Elizabeth Braddock (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Living Characters,708,"1976, December",December,1976,12/1/1976
47,Marvel,Norrin Radd (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,696,"1966, March",March,1966,3/1/1966
48,Marvel,Norman Osborn (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,692,"1964, July",July,1964,7/1/1964
49,Marvel,Eugene Thompson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,689,"1962, August",August,1962,8/1/1962
50,Marvel,Simon Williams (Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,Living Characters,686,"1964, October",October,1964,10/1/1964
51,Marvel,Samuel Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,657,"1982, November",November,1982,11/1/1982
52,Marvel,James Buchanan Barnes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,641,"1941, March",March,1941,3/1/1941
53,Marvel,Remy LeBeau (Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,Living Characters,636,"1990, July",July,1990,7/1/1990
54,Marvel,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,618,"1974, May",May,1974,5/1/1974
55,Marvel,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,612,"1986, January",January,1986,1/1/1986
56,Marvel,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,599,"1963, September",September,1963,9/1/1963
57,Marvel,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,590,"1962, May",May,1962,5/1/1962
58,Marvel,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,567,"1964, November",November,1964,11/1/1964
