name,gender,birth_count
Leandrea,F,10
Marea,F,5
Lennard,M,9
Brison,M,36
Payten,M,27
Dawton,M,7
Thurston,M,15
Garielle,F,11
Kaelin,F,142
Paul,M,3246
Jumanah,F,5
Tilman,M,7
Trisa,F,6
Fatima,F,1354
Maui,M,6
Tressie,F,9
Dajiah,F,7
Ruel,M,8
Ketzaly,F,9
Otto,M,97
Brittain,F,7
Diella,F,6
Brittany,M,5
Lanni,F,6
Charley,M,47
Toya,F,5
Mauricio,M,684
Lasonya,F,5
Corben,M,67
Talhah,M,6
Javarie,M,12
Briton,M,8
Celica,F,5
Shadasia,F,5
Elecia,F,15
Amarianna,F,14
Curt,M,35
Derek,M,2753
Lissbeth,F,6
Malone,M,6
Valerie,F,1910
Elva,F,43
Odaliz,F,13
Dwight,M,176
Calyn,F,21
Kiyan,M,15
Jamari,F,46
Carine,F,6
Rosetta,F,27
Haile,M,11
Jerriah,F,9
Baron,M,64
Ivry,F,9
Shaira,F,12
Lyllian,F,20
Yetunde,F,5
Usayd,M,6
Hayde,F,13
Essance,F,10
Rakan,M,10
Kinnley,F,5
Nieves,F,13
Kunaal,M,6
Shulem,M,24
Nytrell,M,5
Lorn,M,5
Jaymeson,M,11
Shaylan,F,12
Ash,M,33
Kayton,F,13
Abdulla,M,8
Chazlyn,F,5
Nima,F,9
Ryana,F,17
Geovana,F,11
Maxamillian,M,11
Aarya,M,14
Airika,F,5
Zedrick,M,9
Samai,F,6
Laryn,F,11
Ileene,F,6
Galia,F,6
Maranda,F,163
Nanea,F,12
Jaliel,M,10
Rodger,M,20
Jacek,M,16
Kemya,F,30
Rowyn,F,7
Taliayah,F,6
Dierdre,F,5
Kerianna,F,10
Kaidan,F,5
Kiyoko,F,8
Tyahna,F,7
Shirlene,F,5
Tova,F,39
Jorryn,F,11
Zisel,F,6
Takari,F,5
Fatoumata,F,83
Maximiliano,M,370
Samariya,F,5
Random,M,7
Tyleik,M,7
Henchy,F,9
Blayze,M,29
Marty,M,58
Nikitha,F,17
Zariel,F,9
Collette,F,41
Lexianna,F,8
Howard,M,258
Jamonte,M,20
Anapatricia,F,5
Jarelly,F,8
Megan,F,7796
Kamira,F,19
Shrey,M,28
Mars,M,6
Ismaaeel,M,5
Season,F,6
Mushka,F,7
Myla,F,219
Ishana,F,10
Sarabeth,F,16
Adarsh,M,26
Maelle,F,5
Tariyah,F,19
Aarya,F,14
Deniz,M,27
Dezeray,F,20
Sylvia,F,502
Farha,F,6
Cicely,F,17
Azya,F,12
Dkhari,M,5
Lucifer,M,5
Jaqwan,M,17
Maysun,F,5
Breya,F,19
Khmari,M,5
Malie,F,16
Lorenso,M,5
Abbigail,F,555
Najah,F,101
Davyon,M,17
Brithney,F,13
Miarose,F,6
Haydin,M,22
Alexxis,F,57
Snehal,M,5
Finnley,M,16
Maxmillian,M,9
Meeka,F,5
Amatullah,F,8
Akya,F,10
Leilani,M,7
Marven,M,14
Mariateresa,F,7
Jaquise,M,9
Ryken,M,17
Banks,M,13
Madelene,F,23
Alexandrina,F,5
Fransheska,F,10
Earvin,M,8
Zaid,M,159
Jareth,F,5
Xzavien,M,5
Zuri,M,24
Virginia,F,742
Tyke,M,9
Zaron,M,8
Kohner,M,5
Cyana,F,13
Brixton,M,5
Vasco,M,6
Amarrion,M,24
Daulton,M,45
Victoriya,F,6
Cynae,F,7
Sharie,F,5
Caprina,F,5
Leylanie,F,5
Chauncy,M,15
Mailan,F,5
Hovanes,M,5
Ionna,F,10
Zykeem,M,5
Nicanor,M,6
Hipolito,M,21
Macario,M,31
Jalal,M,23
Babatunde,M,10
Jacen,M,65
Roni,F,28
Salmai,F,7
Adaya,F,10
Khianna,F,7
Miguelangel,M,139
Aline,F,61
Raneen,F,10
Jeancarlo,M,35
Esthefania,F,6
Josie,M,8
Shylin,F,9
Risha,F,14
Lavern,M,19
Keani,F,11
Daimen,M,18
Mamie,F,13
Sandy,F,296
Amanie,F,11
Coulson,M,9
Kendrik,M,7
Broderick,M,175
Corbitt,M,6
Kyandre,M,5
Prisila,F,41
Esaiah,M,8
Imogen,F,45
Angelea,F,25
Luna,F,271
Shaleah,F,10
Cheston,M,8
Shanaia,F,7
Lam,F,8
Amber,F,4120
Saarah,F,13
