passtype,age,status,sex
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,male
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
third,child,dead,female
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
